GEMS Station Number;Local Station Number;Country Name;Water Type;Station Identifier;Station Narrative;Water Body Name;Main Basin;Upstream Basin Area;Elevation;Monitoring Type;Date Station Opened;Responsible Collection Agency;Latitude;Longitude;River Width;Discharge;Max. Depth;Lake Area;Lake Volume;Average Retention;Area of Aquifer;Depth of Impermeable Lining;Production Zone;Mean Abstraction Rate;Mean Abstraction Level
MEX02131;DLZAC2638M1;Mexico;River station;SAN FRANCISCO DE LOS GALLARDO;;;;;1680;TREND;;Comisión Nacional del Agua;24,32178;-102,88479;;;;;;;;;;;
MEX02132;DLZAC2639M1;Mexico;River station;THE HUNTER;;;;;1906;TREND;;Comisión Nacional del Agua;23,70516;-103,09889;;;;;;;;;;;
MEX02133;DLZAC2640;Mexico;Groundwater station;SANTA BARBARA WELL;;;;;2167;TREND;;Comisión Nacional del Agua;23,01389;-103,19989;;;;;;;;;;;
MEX02134;DLZAC2641;Mexico;Groundwater station;MELCHOR OCAMPO;;;;;2050;TREND;;Comisión Nacional del Agua;24,8328;-101,6368;;;;;;;;;;;
MEX02135;DLZAC2642;Mexico;Groundwater station;MAZAPIL;;;;;2287;TREND;;Comisión Nacional del Agua;24,63532;-101,54754;;;;;;;;;;;
MEX02136;DLZAC2643;Mexico;Groundwater station;CONCEPTION OF GOLD;;;;;1890;TREND;;Comisión Nacional del Agua;24,55602;-101,34845;;;;;;;;;;;
MEX02137;DLZAC2644;Mexico;Groundwater station;EL SALVADOR 2 (EL SALVADOR SAL008);;;;;1716;TREND;;Comisión Nacional del Agua;24,52365;-100,86099;;;;;;;;;;;
MEX02138;DLZAC2645;Mexico;Groundwater station;EL SALVADOR 1 (NEW TANK SAL003);;;;;1934;TREND;;Comisión Nacional del Agua;24,38432;-100,96738;;;;;;;;;;;
MEX02139;DLZAC2646;Mexico;Groundwater station;CAGES UP;;;SANTIAGO-LERMA-CHAPALA;;2166;TREND;;Comisión Nacional del Agua;22,02965;-101,57321;;;;;;;;;;;
MEX02140;DLZAC2647;Mexico;Groundwater station;THE PLACE;;;SANTIAGO-LERMA-CHAPALA;;2124;TREND;;Comisión Nacional del Agua;21,97693;-101,65055;;;;;;;;;;;
MEX02141;DLZAC2648;Mexico;Groundwater station;THE WORK;;;SANTIAGO-LERMA-CHAPALA;;2175;TREND;;Comisión Nacional del Agua;22,16702;-101,63465;;;;;;;;;;;
MEX02142;DLZAC2649M1;Mexico;Groundwater station;MIGUEL AUZA;;;;;2036;TREND;;Comisión Nacional del Agua;24,24546;-103,4338;;;;;;;;;;;
MEX02143;DLZAC2650;Mexico;Groundwater station;VILLA HIDALGO;;;;;2143;TREND;;Comisión Nacional del Agua;22,35961;-101,72702;;;;;;;;;;;
MEX02144;DLZAC2651;Mexico;Groundwater station;THE SOTOLILLO;;;;;2173;TREND;;Comisión Nacional del Agua;22,47274;-101,73639;;;;;;;;;;;
MEX02145;DLZAC2652M1;Mexico;Groundwater station;THE JEWEL;;;;;2205;TREND;;Comisión Nacional del Agua;22,89935;-102,65772;;;;;;;;;;;
MEX02146;DLZAC2653;Mexico;Groundwater station;JUAN ALDAMA;;;;;2041;TREND;;Comisión Nacional del Agua;24,25089;-103,39173;;;;;;;;;;;
MEX02147;DLZAC2654;Mexico;Groundwater station;CAMACHO 2 (OPAL STATION CNA 006);;;;;1761;TREND;;Comisión Nacional del Agua;24,32433;-102,42171;;;;;;;;;;;
MEX02148;DLZAC2655;Mexico;Groundwater station;CAMACHO 1 (SAN MARCOS);;;;;1701;TREND;;Comisión Nacional del Agua;24,24101;-102,17488;;;;;;;;;;;
MEX02149;DLZAC2656;Mexico;Reservoir station;EXCAME 1 DAM;;;SANTIAGO-LERMA-CHAPALA;;1755;TREND;;Comisión Nacional del Agua;21,645;-103,350556;;;;;;;;;;;
MEX02150;DLZAC2657;Mexico;Reservoir station;EXCAME 2 DAM;;;SANTIAGO-LERMA-CHAPALA;;1760;TREND;;Comisión Nacional del Agua;21,64222;-103,362778;;;;;;;;;;;
MEX02151;DLZAC2658;Mexico;Reservoir station;EXCAME 3 DAM;;;SANTIAGO-LERMA-CHAPALA;;1755;TREND;;Comisión Nacional del Agua;21,629722;-103,363611;;;;;;;;;;;
MEX02152;DLZAC2659;Mexico;Groundwater station;STAY LA COLORADA;;;;;1877;TREND;;Comisión Nacional del Agua;23,78591;-102,39469;;;;;;;;;;;
MEX02153;DLZAC2660;Mexico;Groundwater station;GUADALUPE DE LAS CORRIENTES;;;;;1928;TREND;;Comisión Nacional del Agua;23,70464;-102,51058;;;;;;;;;;;
MEX02154;DLZAC2661;Mexico;Groundwater station;FELIPE PESCADOR CAÑITAS;;;;;2032;TREND;;Comisión Nacional del Agua;23,56972;-102,75542;;;;;;;;;;;
MEX02155;DLZAC2662;Mexico;Groundwater station;BIG RANCH;;;;;2010;TREND;;Comisión Nacional del Agua;23,44424;-102,96398;;;;;;;;;;;
MEX02156;DLZAC2663;Mexico;Groundwater station;CARRILLO WELLS;;;;;2104;TREND;;Comisión Nacional del Agua;23,19742;-102,99778;;;;;;;;;;;
MEX02157;DLZAC2664M1;Mexico;Groundwater station;PANUCO;;;;;2296;TREND;;Comisión Nacional del Agua;22,91561;-102,59026;;;;;;;;;;;
MEX02158;DLZAC2665;Mexico;Groundwater station;SAN JOSE DEL RIO;;;;;2139;TREND;;Comisión Nacional del Agua;23,20728;-103,26627;;;;;;;;;;;
MEX02159;DLZAC2666;Mexico;Groundwater station;VICENTE GUERRERO 2;;;;;2178;TREND;;Comisión Nacional del Agua;23,18828;-103,34804;;;;;;;;;;;
MEX02160;DLZAC2667;Mexico;Groundwater station;EMILIANO ZAPATA;;;;;2122;TREND;;Comisión Nacional del Agua;23,5544;-103,29927;;;;;;;;;;;
MEX02161;DLZAC2668;Mexico;Groundwater station;SAIN ALTO;;;;;2061;TREND;;Comisión Nacional del Agua;23,58569;-103,258;;;;;;;;;;;
MEX02162;DLZAC2669;Mexico;Groundwater station;FELIPE CARRILLO PUERTO (EL ARENAL);;;;;2200;TREND;;Comisión Nacional del Agua;23,66212;-103,4398;;;;;;;;;;;
MEX02163;DLZAC2670M1;Mexico;Reservoir station;SANTA BARBARA (LEOBARDO REYNOSO DAM);;;;;2112;TREND;;Comisión Nacional del Agua;23,1814;-103,21677;;;;;;;;;;;
MEX02164;DLZAC2671M1;Mexico;Groundwater station;ST. HELEN;;;;;2054;TREND;;Comisión Nacional del Agua;22,59379;-102,08253;;;;;;;;;;;
MEX02165;DLZAC2672;Mexico;Groundwater station;THE STRONG;;;;;1943;TREND;;Comisión Nacional del Agua;23,85291;-103,13707;;;;;;;;;;;
MEX02166;DLZAC2673;Mexico;Groundwater station;GENERAL FRANCISCO R MURGUIA;;;;;1909;TREND;;Comisión Nacional del Agua;24,00304;-103,0163;;;;;;;;;;;
MEX02167;DLZAC2674M1;Mexico;River station;MOMAX;;;SANTIAGO-LERMA-CHAPALA;;1704;TREND;;Comisión Nacional del Agua;21,92064;-103,31774;;;;;;;;;;;
MEX02168;DLZAC2675;Mexico;Groundwater station;EL CARDITO 2 (BANDERITAS);;;;;1746;TREND;;Comisión Nacional del Agua;24,19737;-101,99526;;;;;;;;;;;
MEX02169;DLZAC2676;Mexico;Groundwater station;EL CARDITO 1 (RANCHO NUEVO CNA041);;;;;2107;TREND;;Comisión Nacional del Agua;24,00488;-101,62038;;;;;;;;;;;
MEX02170;DLZAC2677;Mexico;Groundwater station;FRANCISCO I MADERO;;;;;2221;TREND;;Comisión Nacional del Agua;22,79935;-102,71887;;;;;;;;;;;
MEX02171;DLZAC2678;Mexico;Groundwater station;SIERRA VIEJA;;;;;1961;TREND;;Comisión Nacional del Agua;23,50368;-102,1482;;;;;;;;;;;
MEX02172;DLZAC2679;Mexico;Groundwater station;THE CAPIROTE;;;;;2062;TREND;;Comisión Nacional del Agua;23,6513;-102,15312;;;;;;;;;;;
MEX02173;DLZAC2680M1;Mexico;Groundwater station;PUMPING HOUSING;;;;;1892;TREND;;Comisión Nacional del Agua;23,81987;-103,03076;;;;;;;;;;;
MEX02174;DLZAC2681;Mexico;Groundwater station;NUCKLES;;;;;1974;TREND;;Comisión Nacional del Agua;23,15117;-102,31851;;;;;;;;;;;
MEX02175;DLZAC2682;Mexico;Groundwater station;WELL 581 PARDILLO (SUBSTITUTE WELL NO. 2007 SANTA ANA POTABLE WATER);;;;;2062;TREND;;Comisión Nacional del Agua;23,20094;-102,73489;;;;;;;;;;;
MEX02176;DLZAC2684;Mexico;Lake station;COMPAÑIA CERVECERA DE ZACATECAS, S.A. DE C.V. (DOWNSTREAM);;;;;2052;TREND;;Comisión Nacional del Agua;23,24269;-102,767;;;;;;;;;;;
MEX02177;DLZAC5392;Mexico;Groundwater station;WELL 6 TABASCO;;;SANTIAGO-LERMA-CHAPALA;;1498;TREND;;Comisión Nacional del Agua;21,87239;-102,91;;;;;;;;;;;
MEX02178;DLZAC5393;Mexico;Groundwater station;APULCO;;;SANTIAGO-LERMA-CHAPALA;;1801;TREND;;Comisión Nacional del Agua;21,34599;-102,77041;;;;;;;;;;;
MEX02179;DLZAC5394;Mexico;Groundwater station;NIGHT;;;SANTIAGO-LERMA-CHAPALA;;1836;TREND;;Comisión Nacional del Agua;21,38652;-102,69382;;;;;;;;;;;
MEX02180;DLZAC5395;Mexico;Groundwater station;LUIS MOYA;;;SANTIAGO-LERMA-CHAPALA;;1991;TREND;;Comisión Nacional del Agua;22,4365;-102,24267;;;;;;;;;;;
MEX02181;DLZAC5396;Mexico;Groundwater station;HUANUSCO;;;SANTIAGO-LERMA-CHAPALA;;1512;TREND;;Comisión Nacional del Agua;21,77476;-102,97662;;;;;;;;;;;
MEX02182;OCAVM2685;Mexico;Lake station;LACUSTRE SYSTEM OF XOCHIMILCO AND SAN GREGORIO ATLAPULCO 2;;;PANUCO;;2238;TREND;;Comisión Nacional del Agua;19,2832;-99,079433;;;;;;;;;;;
MEX02183;OCAVM2686;Mexico;Groundwater station;WELL RN-11 AV. LEANDRO VALLE S / N. CABBAGE. FROM SEA;;;PANUCO;;2237;TREND;;Comisión Nacional del Agua;19,28548;-99,06975;;;;;;;;;;;
MEX02184;OCAVM2687;Mexico;Lake station;LACUSTRE SYSTEM OF XOCHIMILCO AND SAN GREGORIO ATLAPULCO 1;;;PANUCO;;2237;TREND;;Comisión Nacional del Agua;19,271862;-99,063868;;;;;;;;;;;
MEX02185;OCAVM2688;Mexico;Lake station;XOCHIMILCO 2;;;PANUCO;;2236;TREND;;Comisión Nacional del Agua;19,269833;-99,061922;;;;;;;;;;;
MEX02186;OCAVM2689;Mexico;Lake station;XOCHIMILCO 1;;;PANUCO;;2236;TREND;;Comisión Nacional del Agua;19,27117;-99,058343;;;;;;;;;;;
MEX02187;OCAVM2690;Mexico;Groundwater station;WELL RN-18E SOUTH-RAMAL OPERATION ROAD NETZAHUALCOYOTL;;;PANUCO;;2238;TREND;;Comisión Nacional del Agua;19,27505;-99,0458;;;;;;;;;;;
MEX02188;OCAVM2691;Mexico;Lake station;LAKE LOS REYES;;;PANUCO;;2238;TREND;;Comisión Nacional del Agua;19,266313;-99,006995;;;;;;;;;;;
MEX02189;OCAVM2692;Mexico;Groundwater station;WELL RN-10 RAMAL MIXQUIC-STA. CATARINA;;;PANUCO;;2234;TREND;;Comisión Nacional del Agua;19,27089;-98,97269;;;;;;;;;;;
MEX02190;OCAVM2693;Mexico;Groundwater station;WELL RM-1B CARR.STA. CATARINA-TLAHUAC;;;PANUCO;;2237;TREND;;Comisión Nacional del Agua;19,30318;-98,96747;;;;;;;;;;;
MEX02191;OCAVM2694;Mexico;River station;AKZO NOBEL CHEMICALS, S.A. DE C.V.;;;PANUCO;;2244;TREND;;Comisión Nacional del Agua;19,354993;-98,959667;;;;;;;;;;;
MEX02192;OCAVM2695;Mexico;River station;XOCHIACA BRIDGE;;;PANUCO;;2234;TREND;;Comisión Nacional del Agua;19,414258;-98,988672;;;;;;;;;;;
MEX02193;OCAVM2696;Mexico;Lake station;LAKE NABOR CARRILLO 1;;;PANUCO;;2235;TREND;;Comisión Nacional del Agua;19,45778;-98,98728;;;;;;;;;;;
MEX02194;OCAVM2697;Mexico;Groundwater station;WELL RPT-19 HIGHWAY PEÑON-TEXCOCO;;;PANUCO;;2236;TREND;;Comisión Nacional del Agua;19,48637;-98,95787;;;;;;;;;;;
MEX02195;OCAVM2698;Mexico;Lake station;LAKE NABOR CARRILLO 2;;;PANUCO;;2235;TREND;;Comisión Nacional del Agua;19,480993;-98,959412;;;;;;;;;;;
MEX02196;OCAVM2699;Mexico;Groundwater station;WELL RPT-16 HIGHWAY PEÑON-TEXCOCO;;;PANUCO;;2235;TREND;;Comisión Nacional del Agua;19,48943;-98,94932;;;;;;;;;;;
MEX02197;OCAVM2700;Mexico;River station;BRIDGE CARR. LOS REYES - DAIRY;;;PANUCO;;2249;TREND;;Comisión Nacional del Agua;19,590637;-98,927332;;;;;;;;;;;
MEX02198;OCAVM2701;Mexico;River station;CLARIANT PRODUCTOS QUIMICOS, S.A. DE C.V. (WATERS UP);;;PANUCO;;2242;TREND;;Comisión Nacional del Agua;19,53237;-99,05839;;;;;;;;;;;
MEX02199;OCAVM2702;Mexico;River station;SAN JUAN IXHUATEPEC;;;PANUCO;;2324;TREND;;Comisión Nacional del Agua;19,91446;-99,1005;;;;;;;;;;;
MEX02200;OCAVM2703;Mexico;River station;KIMEX, S.A. DE C.V. (WATERS UP);;;PANUCO;;2277;TREND;;Comisión Nacional del Agua;19,57409;-99,21025;;;;;;;;;;;
MEX02201;OCAVM2718;Mexico;Reservoir station;GUADALUPE 4 DAM;;;PANUCO;;2311;TREND;;Comisión Nacional del Agua;19,6234;-99,2499;;;;;;;;;;;
MEX02202;OCAVM2721;Mexico;Lake station;GUADALUPE 2 DAM;;;PANUCO;;2311;TREND;;Comisión Nacional del Agua;19,63001;-99,25723;;;;;;;;;;;
MEX02203;OCAVM2726;Mexico;Lake station;GUADALUPE 3 DAM;;;PANUCO;;2309;TREND;;Comisión Nacional del Agua;19,63405;-99,25247;;;;;;;;;;;
MEX02204;OCAVM2727;Mexico;River station;A.A. GUADALUPE DAM;;;PANUCO;;2290;TREND;;Comisión Nacional del Agua;19,63972;-99,24509;;;;;;;;;;;
MEX02205;OCAVM2732;Mexico;Reservoir station;GUADALUPE 1 DAM;;;PANUCO;;2311;TREND;;Comisión Nacional del Agua;19,63323;-99,26012;;;;;;;;;;;
MEX02206;OCAVM2740;Mexico;River station;TEPOTZOTLAN RIVER WATERS ABOVE THE CONCEPCION Dam;;;PANUCO;;2376;TREND;;Comisión Nacional del Agua;19,69285;-99,32966;;;;;;;;;;;
MEX02207;OCAVM2741;Mexico;River station;CONCEPCION DAM AGUAS ABAJO;;;PANUCO;;2348;TREND;;Comisión Nacional del Agua;19,6941;-99,3029;;;;;;;;;;;
MEX02208;OCAVM2743;Mexico;River station;SAN LORENZO (HYDROMETRIC);;;PANUCO;;2258;TREND;;Comisión Nacional del Agua;19,70797;-99,19983;;;;;;;;;;;
MEX02209;OCAVM2744;Mexico;River station;CHENILLE MEXICANA, S.A. DE C.V. (WATERS UP);;;PANUCO;;2255;TREND;;Comisión Nacional del Agua;19,70521;-99,19555;;;;;;;;;;;
MEX02210;OCAVM2747;Mexico;Groundwater station;WELL RFC-3 ROAD _OP_NORTE LOS REYES-ECATEPEC;;;PANUCO;;2254;TREND;;Comisión Nacional del Agua;19,631455;-99,16265;;;;;;;;;;;
MEX02211;OCAVM2748;Mexico;River station;EXIT PORTAL;;;PANUCO;;2271;TREND;;Comisión Nacional del Agua;19,60666;-99,19051;;;;;;;;;;;
MEX02212;OCAVM2749;Mexico;Groundwater station;WELL RFC-15-BIS CAM_OP_NORTE LOS REYES;;;PANUCO;;2247;TREND;;Comisión Nacional del Agua;19,6658;-99,1204;;;;;;;;;;;
MEX02213;OCAVM2750;Mexico;Groundwater station;WELL RE- 10 BIS CAM_OP_NORTELOS REYES;;;PANUCO;;2244;TREND;;Comisión Nacional del Agua;19,65585;-99,0676;;;;;;;;;;;
MEX02214;OCAVM2751;Mexico;River station;KILOMETER 27 + 500;;;PANUCO;;2242;TREND;;Comisión Nacional del Agua;19,643377;-99,054653;;;;;;;;;;;
MEX02215;OCAVM2752;Mexico;Groundwater station;WELL 27 NORTE LOS REYES;;;PANUCO;;2242;TREND;;Comisión Nacional del Agua;19,64974;-99,06385;;;;;;;;;;;
MEX02216;OCAVM2753;Mexico;River station;WATERS ABOVE THE GUADALUPE DAM;;;PANUCO;;2256;TREND;;Comisión Nacional del Agua;19,71481;-99,19534;;;;;;;;;;;
MEX02217;OCAVM2755;Mexico;River station;SANTO TOMAS STRUCTURA (TOMA WORK);;;PANUCO;;2253;TREND;;Comisión Nacional del Agua;19,76534;-99,18439;;;;;;;;;;;
MEX02218;OCAVM2756;Mexico;Groundwater station;WELL RT-28-BIS TEOLOYUCAN TOWN;;;PANUCO;;2253;TREND;;Comisión Nacional del Agua;19,7652;-99,1851;;;;;;;;;;;
MEX02219;OCAVM2757;Mexico;Groundwater station;WELL RT-31 TOWN OF TEOLOYUCAN;;;PANUCO;;2251;TREND;;Comisión Nacional del Agua;19,77982;-99,19142;;;;;;;;;;;
MEX02220;OCAVM2758;Mexico;Lake station;LAKE OF ZUMPANGO 1;;;PANUCO;;2247;TREND;;Comisión Nacional del Agua;19,78936;-99,15934;;;;;;;;;;;
MEX02221;OCAVM2759;Mexico;Lake station;LAKE OF ZUMPANGO 2;;;PANUCO;;2247;TREND;;Comisión Nacional del Agua;19,80577;-99,13083;;;;;;;;;;;
MEX02222;OCAVM2760;Mexico;Groundwater station;WELL RTIZ-3 CARR.FED.MEXICO-PACHUCA KM. 50 + 000;;;PANUCO;;2271;TREND;;Comisión Nacional del Agua;19,81857;-98,97644;;;;;;;;;;;
MEX02223;OCAVM2761;Mexico;Groundwater station;WELL RITZ-16 CARR. EDF. MEXICO-PACHUCA;;;PANUCO;;2325;TREND;;Comisión Nacional del Agua;19,91182;-98,91436;;;;;;;;;;;
MEX02224;OCAVM2762;Mexico;River station;ENTRANCE TO LAKE TEXCOCO;;;PANUCO;;2233;TREND;;Comisión Nacional del Agua;19,443158;-99,04663;;;;;;;;;;;
MEX02225;OCAVM2763W1;Mexico;River station;CERRO DE LA ESTRELLA (A) AGUAS ARRIBA;;;PANUCO;;2264;TREND;;Comisión Nacional del Agua;19,3374;-99,079815;;;;;;;;;;;
MEX02226;OCAVM2764W1;Mexico;River station;CERRO DE LA ESTRELLA (A) AGUAS ABAJO;;;PANUCO;;2252;TREND;;Comisión Nacional del Agua;19,33625;-99,077327;;;;;;;;;;;
MEX02227;OCAVM2765;Mexico;Lake station;LACUSTRE SYSTEM OF XOCHIMILCO AND SAN GREGORIO ATLAPULCO 3;;;PANUCO;;2236;TREND;;Comisión Nacional del Agua;19,292469;-99,098334;;;;;;;;;;;
MEX02228;OCAVM2766;Mexico;River station;RIO BUEN AVENTURA;;;PANUCO;;2238;TREND;;Comisión Nacional del Agua;19,288482;-99,114098;;;;;;;;;;;
MEX02229;OCAVM2767;Mexico;River station;FOURTH DYNAMO;;;PANUCO;;3154;TREND;;Comisión Nacional del Agua;19,2656;-99,2941;;;;;;;;;;;
MEX02230;OCAVM2768;Mexico;Reservoir station;MADIN 1 DAM;;;PANUCO;;2351;TREND;;Comisión Nacional del Agua;19,5324;-99,2675;;;;;;;;;;;
MEX02231;OCAVM2769;Mexico;Reservoir station;MADIN DAM 2;;;PANUCO;;2364;TREND;;Comisión Nacional del Agua;19,5282;-99,26401;;;;;;;;;;;
MEX02232;OCAVM2770;Mexico;Reservoir station;MADIN DAM 3;;;PANUCO;;2348;TREND;;Comisión Nacional del Agua;19,5269;-99,2605;;;;;;;;;;;
MEX02233;OCAVM2771;Mexico;River station;A.A DE LA PREA MADIN;;;PANUCO;;2388;TREND;;Comisión Nacional del Agua;19,53502;-99,2889;;;;;;;;;;;
MEX02234;OCAVM2772;Mexico;River station;A.A. MADIN DAM;;;PANUCO;;2331;TREND;;Comisión Nacional del Agua;19,52695;-99,2553;;;;;;;;;;;
MEX02235;OCAVM2773;Mexico;River station;BEAM BRIDGE;;;PANUCO;;2261;TREND;;Comisión Nacional del Agua;19,51114;-99,21331;;;;;;;;;;;
MEX02236;OCAVM2774;Mexico;River station;SAN LUCAS (CHALCO BRIDGE);;;PANUCO;;2244;TREND;;Comisión Nacional del Agua;19,284638;-98,873207;;;;;;;;;;;
MEX02237;OCAVM2775;Mexico;Groundwater station;SAN ANDRES METLA;;;PANUCO;;2275;TREND;;Comisión Nacional del Agua;19,22227;-98,83974;;;;;;;;;;;
MEX02238;OCAVM2776;Mexico;Groundwater station;SAN MATEO TEZOQUIAPA WELL (MIRAFLORES);;;PANUCO;;2305;TREND;;Comisión Nacional del Agua;19,22688;-98,81591;;;;;;;;;;;
MEX02239;OCBAL2778;Mexico;Groundwater station;SAPAC SECTOR NO. 4 CHAMILPA UNIVERSITY;;;BALSAS;;1870;TREND;;Comisión Nacional del Agua;18,98108;-99,24037;;;;;;;;;;;
MEX02240;OCBAL2784;Mexico;River station;BARRANCA BRIDGE WHITE SHOE;;;BALSAS;;1215;TREND;;Comisión Nacional del Agua;18,82961;-99,19191;;;;;;;;;;;
MEX02241;OCBAL2785;Mexico;Groundwater station;PLANCHUELAS;;;BALSAS;;1257;TREND;;Comisión Nacional del Agua;18,83821;-99,17501;;;;;;;;;;;
MEX02242;OCBAL2786;Mexico;River station;B. GACHUPINA-LAS FUENTES;;;BALSAS;;1345;TREND;;Comisión Nacional del Agua;18,87718;-99,16509;;;;;;;;;;;
MEX02243;OCBAL2788;Mexico;Groundwater station;WELL LAS MORAS;;;BALSAS;;1325;TREND;;Comisión Nacional del Agua;18,86836;-99,16624;;;;;;;;;;;
MEX02244;OCBAL2789;Mexico;River station;ECCACIV, S.A. DE C.V. (WATERS UP);;;BALSAS;;1338;TREND;;Comisión Nacional del Agua;18,87284;-99,16972;;;;;;;;;;;
MEX02245;OCBAL2790;Mexico;River station;ECCACIV, S.A. DE C.V. (DOWNSTREAM);;;BALSAS;;1323;TREND;;Comisión Nacional del Agua;18,86674;-99,16975;;;;;;;;;;;
MEX02246;OCBAL2791;Mexico;Lake station;LAGOON OF HUEYAPAN (EL TEXCAL) 1;;;BALSAS;;1388;TREND;;Comisión Nacional del Agua;18,89432;-99,1503;;;;;;;;;;;
MEX02247;OCBAL2792;Mexico;Lake station;LAGOON OF HUEYAPAN (EL TEXCAL) 2;;;BALSAS;;1388;TREND;;Comisión Nacional del Agua;18,89475;-99,15058;;;;;;;;;;;
MEX02248;OCBAL2793;Mexico;Lake station;LAGOON OF HUEYAPAN (EL TEXCAL) 3;;;BALSAS;;1393;TREND;;Comisión Nacional del Agua;18,89522;-99,14956;;;;;;;;;;;
MEX02249;OCBAL2795;Mexico;River station;BARRANCA APANQUETZALCO;;;BALSAS;;1219;TREND;;Comisión Nacional del Agua;18,885;-99,066972;;;;;;;;;;;
MEX02250;OCBAL2796;Mexico;River station;RIO YAUTEPEC - CENTER;;;BALSAS;;1236;TREND;;Comisión Nacional del Agua;18,88444;-99,05558;;;;;;;;;;;
MEX02251;OCBAL2798;Mexico;Groundwater station;WELL NO. 3 OF TETELCINGO (CUAUTLA REFRIGERATION);;;BALSAS;;1433;TREND;;Comisión Nacional del Agua;18,86758;-98,92501;;;;;;;;;;;
MEX02252;OCBAL2799;Mexico;River station;RIO CUAUTLA - YECAPIXTLA;;;BALSAS;;1415;TREND;;Comisión Nacional del Agua;18,8622;-98,92222;;;;;;;;;;;
MEX02253;OCBAL2800;Mexico;River station;BARRANCA SANTA MARIA;;;BALSAS;;1365;TREND;;Comisión Nacional del Agua;18,84139;-98,92513;;;;;;;;;;;
MEX02254;OCBAL2801;Mexico;River station;BURLINGTON YECAPIXTLA, S.A. DE C.V. (WATERS UP);;;BALSAS;;1555;TREND;;Comisión Nacional del Agua;18,86391;-98,88486;;;;;;;;;;;
MEX02255;OCBAL2802;Mexico;River station;BURLINGTON YECAPIXTLA, S.A. DE C.V. (DOWNSTREAM);;;BALSAS;;1555;TREND;;Comisión Nacional del Agua;18,86388;-98,88626;;;;;;;;;;;
MEX02256;OCBAL2803;Mexico;River station;RIO CUAUTLA ARRIBA PTAR CUAUTLA;;;BALSAS;;1276;TREND;;Comisión Nacional del Agua;18,79919;-98,95959;;;;;;;;;;;
MEX02257;OCBAL2804M1;Mexico;River station;RIO CUAUTLA ABAJO PTAR CUAUTLA;;;BALSAS;;1261;TREND;;Comisión Nacional del Agua;18,7966;-98,96709;;;;;;;;;;;
MEX02258;OCBAL2805;Mexico;River station;ARROYO POZA HONDA ARRIBA R. APLATACO;;;BALSAS;;917;TREND;;Comisión Nacional del Agua;18,655017;-99,196561;;;;;;;;;;;
MEX02259;OCBAL2805M1;Mexico;River station;BARRANCA THE HOSPITAL;;;BALSAS;;1217;TREND;;Comisión Nacional del Agua;18,76577;-98,97451;;;;;;;;;;;
MEX02260;OCBAL2806;Mexico;River station;RIO CUAUTLA - AYALA;;;BALSAS;;1230;TREND;;Comisión Nacional del Agua;18,778;-98,97562;;;;;;;;;;;
MEX02261;OCBAL2808;Mexico;River station;CUAUTLA-PAPAYOS RIVER;;;BALSAS;;1114;TREND;;Comisión Nacional del Agua;18,70862;-98,9699;;;;;;;;;;;
MEX02262;OCBAL2809;Mexico;Groundwater station;BIRDS WELL;;;BALSAS;;1036;TREND;;Comisión Nacional del Agua;18,50515;-98,77833;;;;;;;;;;;
MEX02263;OCBAL2810;Mexico;Groundwater station;WELL COL. EMILIANO ZAPATA;;;BALSAS;;1108;TREND;;Comisión Nacional del Agua;18,69335;-98,99409;;;;;;;;;;;
MEX02264;OCBAL2811;Mexico;River station;RIO CUAUTLA - SAN VICENTE;;;BALSAS;;1031;TREND;;Comisión Nacional del Agua;18,63652;-99,00811;;;;;;;;;;;
MEX02265;OCBAL2812;Mexico;River station;RIO CUAUTLA - CHINAMECA;;;BALSAS;;942;TREND;;Comisión Nacional del Agua;18,57868;-99,04064;;;;;;;;;;;
MEX02266;OCBAL2814;Mexico;River station;RIO YAUTEPEC- TLAQUILTENANGO;;;BALSAS;;900;TREND;;Comisión Nacional del Agua;18,61007;-99,16399;;;;;;;;;;;
MEX02267;OCBAL2815;Mexico;River station;RIO CUAUTLA-TLAQUITENANGO;;;BALSAS;;852;TREND;;Comisión Nacional del Agua;18,54867;-99,10768;;;;;;;;;;;
MEX02268;OCBAL2816;Mexico;River station;RIO YAUTEPEC-PEDRO AMARO;;;BALSAS;;892;TREND;;Comisión Nacional del Agua;18,59702;-99,17705;;;;;;;;;;;
MEX02269;OCBAL2818;Mexico;River station;RIO YAUTEPEC ABAJO PTAR JOJUTLA;;;BALSAS;;885;TREND;;Comisión Nacional del Agua;18,59156;-99,18488;;;;;;;;;;;
MEX02270;OCBAL2819;Mexico;Groundwater station;BONANZA;;;BALSAS;;931;TREND;;Comisión Nacional del Agua;18,60531;-99,20771;;;;;;;;;;;
MEX02271;OCBAL2833;Mexico;Groundwater station;TETECALITA-CHICONCUAC;;;BALSAS;;1143;TREND;;Comisión Nacional del Agua;18,77216;-99,18458;;;;;;;;;;;
MEX02272;OCBAL2834;Mexico;River station;GACHUPINA CANYON DOWN GACHUPINA WWTP;;;BALSAS;;1312;TREND;;Comisión Nacional del Agua;18,86542;-99,16504;;;;;;;;;;;
MEX02273;OCBAL2835;Mexico;Lake station;TEQUESQUITENGO LAKE (NORTH ENTRANCE);;;BALSAS;;905;TREND;;Comisión Nacional del Agua;18,62961;-99,25697;;;;;;;;;;;
