Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
BHC-alpha;VMV_2863;ng/l;Alpha-Hexachlorocyclohexane;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
BHC-alpha;VMV_3654;ng/l;Alpha-Hexachlorocyclohexane;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
BHC-beta;0;µg/l;Beta-Hexachlorocyclohexane;;;;;Undefined Analysis Method
BHC-beta;APAT5060_2003;µg/l;Beta-Hexachlorocyclohexane;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
BHC-beta;EPA8080A;µg/l;Beta-Hexachlorocyclohexane;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
BHC-beta;EPA8270D;µg/l;Beta-Hexachlorocyclohexane;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
BHC-beta;ISO6468_1996;µg/l;Beta-Hexachlorocyclohexane;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
BHC-beta;VMV_2863;ng/l;Beta-Hexachlorocyclohexane;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
BHC-beta;VMV_3654;ng/l;Beta-Hexachlorocyclohexane;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
BHC-delta;0;µg/l;Delta-Hexachlorocyclohexane;;;;;Undefined Analysis Method
BHC-delta;ISO6468_1996;µg/l;Delta-Hexachlorocyclohexane;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
BHC-epsilon;0;µg/l;Epsilon-Hexachlorocyclohexane;;;;;Undefined Analysis Method
BHC-gamma;0;µg/l;Gamma-Hexachlorocyclohexane (Lindane);;;;;Undefined Analysis Method
BHC-gamma;APAT5060_2003;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
BHC-gamma;EPA8080A;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
BHC-gamma;EPA8270D;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
BHC-gamma;GC;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Gas Chromatography;Chromatography;;;
BHC-gamma;GC-ECD;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Gas Chromatography with Electron Capture Detection;Chromatography;;;
BHC-gamma;GS-MS;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
BHC-gamma;ISO6468_1996;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
BHC-gamma;LLE-GC-ECD;µg/l;Gamma-Hexachlorocyclohexane (Lindane);Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantitated, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry. Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.
BHC-gamma;MI_C_10_007REV1_2000;µg/l;Gamma-Hexachlorocyclohexane (Lindane);analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
BHC-gamma;NIVA_H3-2;µg/l;Gamma-Hexachlorocyclohexane (Lindane);NIVAs accredited method H3-2 (PCB);;H3-2;NIVA;
BHC-gamma;VMV_2863;ng/l;Gamma-Hexachlorocyclohexane (Lindane);Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
BHC-gamma;VMV_3654;ng/l;Gamma-Hexachlorocyclohexane (Lindane);Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
BIFENOX;0;µg/l;Methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate;;;;;Undefined Analysis Method
BIFENTHRIN;0;µg/l;Bifenthrin;;;;;Undefined Analysis Method
BIPHENYL;VMV_10366;ng/ml;1,1'-Biphenyl;Alkylated polynuclear aromatic hydrocarbons (alkylated PAHs);Chromatography;VMV Method;VMV Method;
BIPHENYL;VMV_3670;ng/l;1,1'-Biphenyl;Extraction of alkyl PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
BIPHENYL;VMV_4100;µg/l;1,1'-Biphenyl;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
BIPHENYL;VMV_4102;ng/l;1,1'-Biphenyl;Analysis of OCs, PCBs, CBs & PAHs in 1 L water by GC-ECD and GC-MSD;Chromatography;VMV Method;VMV Method;
BOD;0;mg/l;Biochemical Oxygen Demand;;;;;Undefined Analysis Method
BOD;BOD-ISE;mg/l;Biochemical Oxygen Demand;5-Day BOD Test using Membrane Electrode;Electrochemical Analysis;"5210 B;4500-O G";APHA 2012;"BOD is a measure of the oxygen demand produce by carbonaceous and nitrogenous materials in a sample. It is measured by determining the decrease of oxygen content, using a dissolved oxygen meter, after incubation at 20°C for five days.
 A sample is preserved in the field at 4°C and the analysis started within four hours. The sample aliquot is incubated, at 20°C for five days under proper conditions. The procedure depends on the nature of the sample. After aeration of the samples to bring the dissolved oxygen content to saturation, one of the following three variations can be used, depending on the type of samples to be analysed:
 1 - The direct method: If the BOD does not exceed 7 mg/L, then the BOD is determined directly by measuring the dissolved oxygen content of the water, before and after a five days incubation period at 20°C.
 2 - Unseeded dilution method: For waters having BOD values greater than 7 mg/L: appropriate sample aliquots are diluted using dilution water, saturated with oxygen, and the oxygen content is determined before and after the incubation period. A minimum of three dilutions per sample, with a final content between 40% and 70% of the original oxygen concentration, will give best results.
 3 - Seeded dilution method: It is extremely important that the conditions be appropriate for the living organisms to function unhindered during the incubation period. Toxic substances should be absent, and necessary nutrients, such as nitrogen and phosphorus, should be present. It is important that a mixed group of organisms (called ""seed"") should be present during the test. The dilution water is seeded with the proper kind and number of organisms and saturated with oxygen (overnight) before the BOD test.
 Siphon the diluted sample to fill three BOD bottles; one for incubation (five days), one for the determination of the dissolved oxygen content (measured and record as ""initial DO"") and the other for the determination of the immediate dissolved oxygen demand (IDOD), after a 15 minutes incubation period. A minimum of three dilutions per sample, with a final content between 40% and 70% of the original oxygen concentration, will give best results.
 Use a calibrated oxygen meter to measure the oxygen concentrations before and after incubation.
 Interference: Many synthetic organic components from industrial wastewaters are not biodegradable without adding seeding water due to the toxic effect or the absence or deficiency of appropriate microorganisms. Sample containing residual Cl2, that is acidic or alkaline, must be neutralized to pH=7, and sometimes titrated with a Na2S2O3 solution to liberate the chloride from solution. A sample, containing sulphide, sulphite and/or ferrous ions, creates an immediate demand, corrected by the IDOD.
 The method detection limit is 1 mg/L."
BOD;BOD-T-COL-AZD;mg/l;Biochemical Oxygen Demand;5-Day BOD Test using Acide Modification;Titration;"5210 B;4500-O C";APHA 2012;"Biochemical Oxygen Demand is defined as the quantity of oxygen necessary for biological and chemical oxidation of water-borne substances under conditions of the test. A sample is preserved in the field at 4°C and the analysis started within 4 hours. A sample is incubated at 20°C under proper conditions. Comparison of the dissolved oxygen content at the beginning and the end of the incubation period is the measure of the Biochemical Oxygen Demand. The procedure depends on the nature of the sample. After aeration of the samples to bring the dissolved oxygen content to saturation, one of the following three variations can be used, depending on the type of samples to be analysed:
 A - The direct method: If the BOD does not exceed 7 mg/L, the BOD is determined directly by measuring the dissolved content of the water sample before and after a five days incubation period at 20°C.
 B - Unseeded dilution method: With waters having BOD values greater than 7 mg/L, appropriate sample aliquots are diluted using dilution water, saturated with oxygen, and the oxygen content is determined before and after the incubation period. A minimum of three dilutions per sample, with a final content between 40% and 70% of the original oxygen concentration, will give best results.
 C - Seeded dilution method: It is extremely important that the conditions be appropriate for the living organisms to function unhindered during the incubation period. Toxic substances should be absent, and necessary nutrients, such as nitrogen and phosphorus, should be present. It is important that a mixed group of organisms (called ""seed"") be present during the test. The dilution water is seeded with the proper kind and number of organisms and saturated with oxygen (overnight) before the BOD test.
 Siphon the diluted sample to fill three BOD bottles; one for incubation (five days), one for the determination of the dissolved oxygen content (measured and record as ""initial DO""), and the other for the determination of the immediate dissolved oxygen demand (IDOD), after a 15 minutes incubation period (to eliminate the oxygen demand from sulphide, sulphite and/or ferrous ions). A minimum of three dilutions per sample, with a final content between 40% and 70% of the original oxygen concentration, will give best results.
 DO Winkler method:
 A sample is treated with manganous sulphate (MnSO4) and a strong alkaline iodide reagent (NaN3, NaI and NaOH). The manganous hydroxide reacts with the dissolved oxygen to form a brown precipitate (MnO(OH)2. Let stand for one hour. Upon acidification, with concentrated H2SO4, in the presence of iodide, the iodine liberated is equivalent to the dissolved oxygen originally present in the sample. The iodide is titrated with a standardized sodium thiosulphate (Na2S2O3), using starch as an indicator.
 Interference: Many synthetic organic components from industrial wastewaters are not biodegradable without adding seeding water. Sample containing residual Cl2, that is acidic or alkaline, must be neutralized to pH=7 and titrated with Na2S2O3 solution. The IDOD is determined to eliminate the oxygen demand of sulphide, sulphite and/or ferrous ions.
 The method detection limit is 0.01 mg/L.
 NOTE: India uses 27° and 3 days because of geoclimatic conditions."
BOD;EN1899-1_1998;mg/l;Biochemical Oxygen Demand;Determination of BOD - Part 1: Dilution and seeding method with allylthiourea acid addition;Colorimetry;1899-1;EN 1998;
BOD;EN1899-2_1998;mg/l;Biochemical Oxygen Demand;Determination of BOC - Part 2: Method for undiluted samples;Colorimetry;1899-2;EN 1998;
BOD;VMV_194;mg/l;Biochemical Oxygen Demand;Carbonaceous biochemical oxygen demand (5 days BOD test);Titration;VMV Method;VMV Method;
BROMACIL;0;µg/l;Bromacil;;;;;Undefined Analysis Method
BROMOFORM;0;µg/l;Tribromomethane;;;;;Undefined Analysis Method
BROMOXYNIL;0;µg/l;3,5-dibromo-4-hydroxybenzonitrile;;;;;Undefined Analysis Method
BROMOXYNIL;VMV_247;ng/l;3,5-dibromo-4-hydroxybenzonitrile;Acid herbicides extracted using Strata-X SPE cartridges.;Chromatography;VMV Method;VMV Method;
BROMOXYNIL;VMV_2865;ng/l;3,5-dibromo-4-hydroxybenzonitrile;Analysis of acidic herbicides as PFBB esters by GC-ECD.;Chromatography;VMV Method;VMV Method;
BROMOXYNIL;VMV_3002;ng/l;3,5-dibromo-4-hydroxybenzonitrile;Analysis of acidic herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
BTBZLPTHAL8;0;µg/l;Butyl Benzyl Phthalate;;;;;Undefined Analysis Method
BUTYLATE;VMV_2868;ng/l;Butylate;Analysis of sulphate in unfiltered samples using COBAS method;Colorimetry;VMV Method;VMV Method;
BUTYLATE;VMV_3003;ng/l;Butylate;Analysis of neutral herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
BUTYLATE;VMV_303;ng/l;Butylate;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
BUTYLATE;VMV_3216;ng/l;Butylate;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
BUTYLATE;VMV_3433;ng/l;Butylate;Neutral herbicides using liquid-liquid extraction with gas chromatography-mass selective detection;Chromatography;VMV Method;VMV Method;
BZAATR;0;µg/l;1,2-Benzanthracene;;;;;Undefined Analysis Method
BZAATR;P-T-GC-MS;µg/l;1,2-Benzanthracene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
BZAATR;VMV_2863;ng/l;1,2-Benzanthracene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
BZAATR;VMV_3669;ng/l;1,2-Benzanthracene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
BZAATR;VMV_4100;µg/l;1,2-Benzanthracene;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
BZBFLA;0;µg/l;2,3-Benzofluoranthene;;;;;Undefined Analysis Method
BZBFLA;APAT5080_2003;µg/l;2,3-Benzofluoranthene;"Polycyclic aromatic hydrocarbons (LLE or SPE + GC-MS; LLE or SPE + HPLC-UV or HPLC-fluorescence)";Chromatography;APAT 2003;APAT 2003;
BZBFLA;EPA8100;µg/l;2,3-Benzofluoranthene;Polynuclear Aromatic Hydrocarbons;Chromatography;EPA 1986;EPA 1986;
BZBFLA;EPA8270D;µg/l;2,3-Benzofluoranthene;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
BZBFLA;EPA8310;µg/l;2,3-Benzofluoranthene;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
BZBFLA;ISO17993_2003;µg/l;2,3-Benzofluoranthene;Determination of 15 polycyclic aromatic hydrocarbons (PAH) in water by HPLC with fluorescence detect;Chromatography;ISO 2003;ISO 2003;
BZBFLA;ISO6468_1996;µg/l;2,3-Benzofluoranthene;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
BZBFLA;MI_C_01_002REV2_2005;µg/l;2,3-Benzofluoranthene;analisi - MI/C/01/002 REV 2: 2005 - DETERMINAZIONE DI IPA TOTALI IN ACQUA E TERRENO;;;;
BZBFLA;P-T-GC-MS;µg/l;2,3-Benzofluoranthene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
BZBFLA;PB-04;µg/l;2,3-Benzofluoranthene;PB-04/2006/PEl;;PB-04;PB-04;
BZBFLA;VMV_2863;ng/l;2,3-Benzofluoranthene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
BZBFLA;VMV_3669;ng/l;2,3-Benzofluoranthene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
BZBFLA;VMV_4100;µg/l;2,3-Benzofluoranthene;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
BZGHIPYL;0;µg/l;1,12-Benzoperylene;;;;;Undefined Analysis Method
BZGHIPYL;APAT5080_2003;µg/l;1,12-Benzoperylene;"Polycyclic aromatic hydrocarbons (LLE or SPE + GC-MS; LLE or SPE + HPLC-UV or HPLC-fluorescence)";Chromatography;APAT 2003;APAT 2003;
BZGHIPYL;EPA8100;µg/l;1,12-Benzoperylene;Polynuclear Aromatic Hydrocarbons;Chromatography;EPA 1986;EPA 1986;
BZGHIPYL;EPA8270D;µg/l;1,12-Benzoperylene;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
BZGHIPYL;EPA8310;µg/l;1,12-Benzoperylene;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
BZGHIPYL;ISO17993_2003;µg/l;1,12-Benzoperylene;Determination of 15 polycyclic aromatic hydrocarbons (PAH) in water by HPLC with fluorescence detect;Chromatography;ISO 2003;ISO 2003;
BZGHIPYL;ISO6468_1996;µg/l;1,12-Benzoperylene;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
BZGHIPYL;MI_C_01_002REV2_2005;µg/l;1,12-Benzoperylene;analisi - MI/C/01/002 REV 2: 2005 - DETERMINAZIONE DI IPA TOTALI IN ACQUA E TERRENO;;;;
BZGHIPYL;P-T-GC-MS;µg/l;1,12-Benzoperylene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
BZGHIPYL;VMV_2863;ng/l;1,12-Benzoperylene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
BZGHIPYL;VMV_3669;ng/l;1,12-Benzoperylene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
BZGHIPYL;VMV_4100;µg/l;1,12-Benzoperylene;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
BZKFLA;0;µg/l;11,12-Benzofluoranthene;;;;;Undefined Analysis Method
BZKFLA;APAT5080_2003;µg/l;11,12-Benzofluoranthene;"Polycyclic aromatic hydrocarbons (LLE or SPE + GC-MS; LLE or SPE + HPLC-UV or HPLC-fluorescence)";Chromatography;APAT 2003;APAT 2003;
BZKFLA;EPA8100;µg/l;11,12-Benzofluoranthene;Polynuclear Aromatic Hydrocarbons;Chromatography;EPA 1986;EPA 1986;
BZKFLA;EPA8270D;µg/l;11,12-Benzofluoranthene;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
BZKFLA;EPA8310;µg/l;11,12-Benzofluoranthene;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
BZKFLA;ISO17993_2003;µg/l;11,12-Benzofluoranthene;Determination of 15 polycyclic aromatic hydrocarbons (PAH) in water by HPLC with fluorescence detect;Chromatography;ISO 2003;ISO 2003;
BZKFLA;ISO6468_1996;µg/l;11,12-Benzofluoranthene;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
BZKFLA;MI_C_01_002REV2_2005;µg/l;11,12-Benzofluoranthene;analisi - MI/C/01/002 REV 2: 2005 - DETERMINAZIONE DI IPA TOTALI IN ACQUA E TERRENO;;;;
BZKFLA;P-T-GC-MS;µg/l;11,12-Benzofluoranthene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
BZKFLA;PB-04;µg/l;11,12-Benzofluoranthene;PB-04/2006/PEl;;PB-04;PB-04;
BZKFLA;VMV_2863;ng/l;11,12-Benzofluoranthene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
BZKFLA;VMV_3669;ng/l;11,12-Benzofluoranthene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
BZKFLA;VMV_4100;µg/l;11,12-Benzofluoranthene;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
Ba-Dis;0;mg/l;Barium - Dissolved;;;;;Undefined Analysis Method
Ba-Dis;FAAS-NAc-D;mg/l;Barium - Dissolved;Direct Nitrous Oxide-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 D;APHA 2012;A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. A NaCl solution is added to the acidified sample aliquot (to overcome the ionisation interference) and then aspirated into the flame. The absorbance is then measured spectrometrically at 553.6 nm and compared to identically-prepared standard and blank solutions, using a nitrous oxide-acetylene reducing flame.
Ba-Dis;ISO15586_2003;µg/l;Barium - Dissolved;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Ba-Dis;ISO17294-2_2004;µg/l;Barium - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
Ba-Dis;VMV_1583;mg/l;Barium - Dissolved;Atomic absorption by direct aspiration;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_1920;µg/l;Barium - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_2632;mg/l;Barium - Dissolved;Dissolved metals by inductively coupled argon plasma emission spectrometry with external nebulizer;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_2633;mg/l;Barium - Dissolved;Dissolved metals by ICP argon plasma emission spectrometry with standard spray chamber;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_2725;µg/l;Barium - Dissolved;Dissolved metals are analyzed by ICP-AES;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_3007;µg/l;Barium - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_3017;µg/l;Barium - Dissolved;Dissolved metals by inductively coupled argon plasma-mass spectrometry technique (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_3529;µg/l;Barium - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_3584;µg/l;Barium - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ba-Dis;VMV_3744;µg/l;Barium - Dissolved;Analysis of dissolved metals is done by inductively coupled argon plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Ba-Ext;FAAS-NAc-D;mg/l;Barium - Extractable;Direct Nitrous Oxide-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 D;APHA 2012;Preservation with 0.2% HNO3. The whole water sample is acidified with dilute mineral acid (usually, the preservative), shaken, left to stand overnight and analyzed by direct AAS.
Ba-Ext;VMV_1917;µg/l;Barium - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
Ba-Ext;VMV_2628;µg/l;Barium - Extractable;Extractable metals by inductively coupled argon plasma (ICAP) emission.;Spectroscopy;VMV Method;VMV Method;
Ba-Ext;VMV_2817;µg/l;Barium - Extractable;Extractable metals by inductively coupled argon plasma-mass spectrometry with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ba-Ext;VMV_2841;µg/l;Barium - Extractable;Extractable elements in acid preserved samples are analyzed by ICP-MS.;Spectroscopy;VMV Method;VMV Method;
Ba-Tot;0;mg/l;Barium - Total;;;;;Undefined Analysis Method
Ba-Tot;FAAS-NAc-D-NA;mg/l;Barium - Total;Direct Nitrous Oxide-Acetylene Flame Atomic Absorption Spectrometry with HNO3 digestion;Spectroscopy;SM 3111 D;APHA 2012;A sample is preserved in the field with nitric acid. The shaken sample aliquot is digested in nitric acid. A NaCl solution is added to the digest (to overcome the ionisation interference) and then aspirated into the flame. The absorbance is then measured spectrometrically at 553.6 nm and compared to identically-prepared standard and blank solutions, using a nitrous oxide-acetylene reducing flame.
Ba-Tot;ICP-AES-Dgs;mg/l;Barium - Total;Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion);Spectroscopy;SM 3120 B;APHA 2012;"Inductively Coupled Plasma, by Optical Emission Spectrometry (ICP-OES) with open vessel rigorous digestion to near dryness. ICP 1503 (See Appendix 3).
 Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis."
